CITY	LAT	LNG
ALPHARETTA	34.0753762	-84.2940899
ATLANTA	33.7489954	-84.3879824
AUBURN HILLS	42.6875323	-83.2341028
AUSTIN	30.267153	-97.7430608
BALTIMORE	39.2903848	-76.6121893
BELLEVUE	47.6101497	-122.2015159
BENTONVILLE	36.3728538	-94.2088172
BLOOMINGTON	39.165325	-86.5263857
BOSTON	42.3600825	-71.0588801
BROOKLYN	40.6781784	-73.9441579
CAMBRIDGE	52.2042666	0.1149085
CARY	35.79154	-78.7811169
CHARLOTTE	35.2270869	-80.8431267
CHICAGO	41.8781136	-87.6297982
CINCINNATI	39.1031182	-84.5120196
COLUMBIA	38.9517053	-92.3340724
COLUMBUS	39.9611755	-82.9987942
CUPERTINO	37.3229978	-122.0321823
DALLAS	32.7766642	-96.7969879
DEARBORN	42.3222599	-83.1763145
DENVER	39.7392358	-104.990251
DETROIT	42.331427	-83.0457538
DORAL	25.8195424	-80.3553302
DUBLIN	53.3498053	-6.2603097
DURHAM	35.9940329	-78.898619
EDISON	40.5187154	-74.4120953
EXTON	40.0325817	-75.6274583
FARMINGTON HILLS	42.4989936	-83.3677168
FORT WORTH	32.7554883	-97.3307658
FREMONT	37.5482697	-121.9885719
FRISCO	33.1506744	-96.8236116
HARTFORD	41.7637111	-72.6850932
HERNDON	38.9695545	-77.3860976
HILLSBORO	45.5228939	-122.989827
HOUSTON	29.7604267	-95.3698028
INDIANAPOLIS	39.768403	-86.158068
IRVINE	33.6845673	-117.8265049
IRVING	32.8140177	-96.9488945
ISELIN	40.5753817	-74.3223703
JACKSONVILLE	30.3321838	-81.655651
JERSEY CITY	40.7281575	-74.0776417
LOS ANGELES	34.0522342	-118.2436849
LOUISVILLE	38.2526647	-85.7584557
MADISON	43.0730517	-89.4012302
MCLEAN	38.9338676	-77.1772604
MEMPHIS	35.1495343	-90.0489801
MENLO PARK	37.4529598	-122.1817252
MIAMI	25.7616798	-80.1917902
MILPITAS	37.4323341	-121.8995741
MILWAUKEE	43.0389025	-87.9064736
MINNEAPOLIS	44.977753	-93.2650108
MOUNTAIN VIEW	37.3860517	-122.0838511
NASHVILLE	36.1626638	-86.7816016
NEW YORK	40.7127837	-74.0059413
NEWARK	40.735657	-74.1723667
OMAHA	41.2523634	-95.9979883
ORLANDO	28.5383355	-81.3792365
PALO ALTO	37.4418834	-122.1430195
PARSIPPANY	40.8652865	-74.4173877
PHILADELPHIA	39.9525839	-75.1652215
PHOENIX	33.4483771	-112.0740373
PISCATAWAY	40.554887	-74.4642861
PITTSBURGH	40.4406248	-79.9958864
PLANO	33.0198431	-96.6988856
PLEASANTON	37.6624312	-121.8746789
PORTLAND	45.5230622	-122.6764815
PRINCETON	40.3439888	-74.6514481
RALEIGH	35.7795897	-78.6381787
REDMOND	47.6739881	-122.121512
REDWOOD CITY	37.4852152	-122.2363548
RESTON	38.9586307	-77.3570028
RICHARDSON	32.9483335	-96.7298519
RICHMOND	37.5407246	-77.4360481
ROCHESTER	43.16103	-77.6109219
SALT LAKE CITY	40.7607793	-111.8910474
SAN ANTONIO	29.4241219	-98.4936282
SAN DIEGO	32.715738	-117.1610838
SAN FRANCISCO	37.7749295	-122.4194155
SAN JOSE	37.3382082	-121.8863286
SAN MATEO	37.5629917	-122.3255254
SAN RAMON	37.7799273	-121.9780153
SANTA CLARA	37.3541079	-121.9552356
SCHAUMBURG	42.0333607	-88.0834059
SEATTLE	47.6062095	-122.3320708
SOMERSET	42.5628556	-83.1841251
ST. LOUIS	38.6270025	-90.1994042
SUNNYVALE	37.36883	-122.0363496
TAMPA	27.950575	-82.4571776
TROY	42.7284117	-73.6917851
WALTHAM	42.3764852	-71.2356113
WARREN	42.5144566	-83.0146526
WASHINGTON	47.7510741	-120.7401385
WILMINGTON	34.2257255	-77.9447102
